time_precision,inter1,inter2,geo_precision,State_label,Event_label,month,No_of_actors,SourceCount,Source_scale1,Fatality_Label
1,5,7,2,1,2,38,4,1,3,0
1,6,0,1,7,2,38,2,1,3,0
1,6,0,1,4,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,3,0
1,6,0,1,7,2,38,2,1,3,0
1,6,0,1,27,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,17,2,38,2,1,3,0
1,6,0,1,2,2,38,1,1,3,0
1,6,0,1,17,2,38,1,1,3,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,3,0
1,6,0,1,0,2,38,1,1,3,0
1,6,0,2,15,2,38,2,1,3,0
1,6,1,1,7,2,38,3,1,1,0
1,5,7,1,11,2,38,4,1,1,0
1,3,7,1,18,3,38,3,1,3,1
1,3,7,1,10,3,38,3,1,3,0
1,5,7,1,7,2,38,4,1,1,0
1,5,5,1,7,2,38,4,1,1,0
1,6,0,1,10,2,38,1,1,3,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,2,7,2,38,2,1,1,0
1,1,7,1,10,1,38,2,1,3,1
1,5,1,1,17,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,3,3,2,38,2,2,1,0
1,6,0,1,3,2,38,2,2,1,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,5,2,38,2,1,3,0
1,6,0,1,23,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,29,2,38,2,1,1,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,1,1,3,0
1,6,0,1,22,2,38,1,1,3,0
1,6,0,1,2,2,38,1,1,4,0
1,6,0,1,15,2,38,1,1,3,0
1,6,0,1,3,2,38,1,1,1,0
1,3,0,1,17,1,38,1,1,1,0
1,6,0,1,5,2,38,1,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,2,1,2,20,4,38,2,1,5,0
1,5,1,1,10,2,38,3,1,3,0
1,5,7,2,1,2,38,3,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
2,6,0,2,8,2,38,2,1,3,0
1,6,0,1,27,2,38,2,1,5,0
1,6,0,1,22,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,3,2,38,1,1,3,0
1,5,7,1,3,2,38,3,1,1,0
1,3,5,1,22,2,38,4,1,3,0
1,2,1,1,17,1,38,4,2,1,0
1,3,7,2,11,3,38,3,1,1,0
1,2,1,2,20,0,38,3,3,3,1
1,5,5,1,22,2,38,4,1,4,0
1,6,5,1,11,2,38,4,1,3,0
1,6,0,2,7,2,38,1,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,9,2,38,2,1,1,0
1,6,0,1,28,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,11,2,38,2,1,3,0
1,5,0,1,14,2,38,1,1,1,0
1,5,7,2,18,2,38,2,1,1,0
1,5,1,1,5,2,38,3,1,1,0
1,6,1,1,12,2,38,3,1,3,0
1,6,1,1,12,2,38,3,1,3,0
1,5,1,1,17,2,38,2,1,1,0
1,5,1,1,5,2,38,2,1,1,0
1,6,0,1,8,2,38,2,1,3,0
1,6,0,2,8,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,2,3,2,38,2,1,1,0
1,6,0,2,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,2,3,0
1,6,0,3,3,2,38,2,1,1,0
1,6,0,2,3,2,38,2,1,1,0
1,6,0,2,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,2,1,0
1,6,0,2,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,2,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,2,3,2,38,2,1,1,0
1,6,0,1,27,2,38,2,1,1,0
1,6,0,1,5,2,38,2,1,1,0
1,6,0,1,23,2,38,2,1,4,0
1,6,0,2,5,2,38,2,1,1,0
1,6,0,1,25,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,2,8,2,38,2,1,3,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,23,2,38,1,1,3,0
1,6,0,2,15,2,38,1,1,3,0
1,6,0,2,15,2,38,1,1,3,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,3,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,2,7,1,2,3,38,3,1,5,1
1,5,8,1,2,2,38,3,1,3,0
1,6,0,1,20,2,38,2,1,3,0
1,6,0,2,23,2,38,2,1,3,0
1,6,1,1,7,2,38,3,1,1,0
1,1,3,1,7,4,38,2,1,1,0
1,5,5,2,11,2,38,4,1,3,0
1,3,7,1,14,3,38,3,1,1,0
1,2,1,1,0,0,38,4,2,3,1
1,3,7,1,1,1,38,3,1,3,0
1,6,0,1,7,2,38,1,1,1,0
1,6,0,1,7,2,38,1,1,3,0
1,6,0,1,14,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,10,2,38,2,1,3,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,28,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,2,10,2,38,2,1,3,0
1,6,0,1,11,2,38,2,1,3,0
1,6,0,1,11,2,38,2,1,1,0
1,5,7,1,10,2,38,3,1,1,0
1,5,7,1,5,3,38,3,1,1,0
1,6,1,1,0,2,38,3,1,1,0
1,6,1,1,17,2,38,3,1,1,0
1,5,1,1,17,2,38,3,2,1,0
1,5,1,1,15,2,38,2,1,3,0
1,3,1,2,0,1,38,2,1,1,0
1,5,5,1,28,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,23,2,38,2,1,3,0
1,6,0,1,20,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,3,0
1,6,0,1,30,2,38,2,1,3,0
1,6,0,1,13,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
2,6,0,1,15,2,38,2,1,3,0
1,6,0,1,22,2,38,2,1,3,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,2,2,38,2,1,3,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,23,2,38,1,1,3,0
1,6,0,3,17,2,38,1,1,3,0
1,6,0,1,0,2,38,1,1,1,0
2,1,7,1,2,3,38,2,2,3,0
1,4,7,1,13,3,38,2,1,1,1
1,6,0,2,20,2,38,2,1,3,0
1,6,1,1,7,2,38,3,1,1,0
1,5,5,1,3,2,38,4,1,3,0
1,5,5,1,3,2,38,4,1,3,0
1,5,7,2,23,2,38,3,1,3,0
1,5,7,1,23,2,38,3,1,3,0
1,3,7,1,7,3,38,3,1,1,1
1,5,7,2,2,2,38,3,1,3,0
2,2,7,1,15,3,38,3,2,3,1
1,3,7,1,19,3,38,3,1,3,0
1,8,1,2,0,1,38,3,1,1,0
1,5,1,1,0,2,38,3,1,3,0
1,5,5,1,22,2,38,4,1,3,0
1,5,7,1,10,3,38,3,1,3,0
1,6,0,1,7,2,38,1,1,1,0
1,6,0,1,7,2,38,1,1,1,0
1,6,0,1,7,2,38,1,1,1,0
1,6,0,1,14,2,38,1,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,10,2,38,2,1,4,0
1,6,0,1,10,2,38,2,1,1,0
1,6,0,1,11,2,38,2,1,3,0
1,6,0,1,11,2,38,2,1,3,0
1,6,0,1,11,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,1,2,12,2,38,3,2,3,0
1,6,1,1,3,2,38,3,1,4,0
2,5,1,2,19,2,38,2,1,3,0
1,6,0,1,23,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,2,15,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,21,2,38,2,1,3,0
1,6,0,1,5,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
2,6,0,1,12,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,23,2,38,2,1,3,0
1,6,0,2,15,2,38,2,2,3,0
1,6,0,1,8,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,19,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,15,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,2,2,38,1,1,3,0
1,6,0,1,22,2,38,1,1,3,0
2,6,0,1,2,2,38,1,1,3,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,2,0,2,38,1,1,1,0
1,6,0,2,20,2,38,2,1,3,0
1,6,1,1,10,2,38,3,1,3,0
1,5,7,1,1,2,38,4,1,3,0
2,5,7,1,7,3,38,3,1,1,0
2,3,7,2,15,3,38,3,1,3,0
1,5,5,1,22,2,38,4,1,3,0
1,5,7,1,12,2,38,3,1,3,0
1,2,7,1,5,4,38,3,1,1,0
1,5,1,1,0,2,38,3,1,3,0
1,5,5,2,12,2,38,4,2,3,0
1,6,0,1,7,2,38,1,1,1,0
1,6,0,1,14,2,38,1,1,1,0
1,6,0,2,11,2,38,1,1,3,0
1,6,0,1,9,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,6,2,38,2,1,3,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,28,2,38,2,1,1,0
1,6,0,1,28,2,38,2,1,1,0
1,6,0,2,11,2,38,2,1,1,0
1,6,0,1,9,2,38,2,1,1,0
1,6,0,1,6,2,38,2,1,3,0
1,6,0,1,14,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,11,2,38,2,1,4,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,28,2,38,2,1,3,0
1,6,0,1,11,2,38,2,1,1,0
1,4,7,2,23,3,38,2,1,3,1
1,4,7,1,15,3,38,2,1,3,1
1,4,7,2,18,3,38,2,1,3,1
1,2,7,1,13,4,38,2,1,5,0
1,5,1,1,5,2,38,3,1,1,0
1,6,1,1,30,2,38,3,1,3,0
1,6,1,2,18,2,38,3,2,3,0
1,6,1,2,18,2,38,3,2,3,0
1,6,1,3,18,2,38,3,3,1,0
1,5,1,1,12,2,38,3,2,3,0
1,5,1,1,5,2,38,2,1,1,0
1,6,1,1,18,2,38,3,1,3,0
1,6,1,1,18,2,38,3,2,1,0
1,5,1,2,18,2,38,3,1,1,0
1,5,5,2,10,2,38,2,1,3,1
2,6,0,1,3,2,38,2,1,1,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,16,2,38,2,1,1,0
1,6,0,1,1,2,38,2,1,3,0
1,6,0,2,5,2,38,2,1,1,0
2,6,0,1,12,2,38,2,1,3,0
1,6,0,1,23,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,27,2,38,2,1,1,0
1,6,0,1,27,2,38,2,1,1,0
2,6,0,1,27,2,38,2,1,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,2,30,2,38,2,1,3,0
1,6,0,1,15,2,38,2,1,3,0
1,6,0,2,5,2,38,2,1,1,0
2,6,0,2,15,2,38,2,1,3,0
1,6,0,2,19,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,2,15,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,19,2,38,2,1,3,0
1,6,0,1,29,2,38,2,1,1,0
1,6,0,1,8,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,23,2,38,2,1,3,0
1,6,0,1,23,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,23,2,38,2,1,3,0
2,6,0,2,8,2,38,2,1,3,0
1,6,0,2,18,2,38,2,1,3,0
1,6,0,2,18,2,38,2,1,1,0
1,6,0,2,18,2,38,2,1,1,0
1,6,0,2,18,2,38,2,1,1,0
1,6,0,2,18,2,38,2,1,3,0
1,6,0,2,18,2,38,2,1,1,0
1,6,0,2,18,2,38,2,1,1,0
1,6,0,2,18,2,38,2,1,3,0
1,6,0,2,18,2,38,2,1,1,0
1,6,0,1,18,2,38,2,1,1,0
1,6,0,2,18,2,38,2,1,1,0
1,6,0,2,18,2,38,2,1,1,0
1,6,0,2,18,2,38,2,1,1,0
1,6,0,2,18,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,3,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,2,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,2,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,2,3,2,38,2,1,1,0
1,6,0,2,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,15,2,38,2,1,3,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,2,1,2,38,2,1,3,0
1,6,0,2,1,2,38,2,1,3,0
1,6,0,1,1,2,38,2,1,4,0
1,6,0,2,1,2,38,2,1,3,0
1,6,0,2,1,2,38,2,1,3,0
1,6,0,1,1,2,38,2,1,4,0
1,6,0,2,1,2,38,2,1,3,0
1,6,0,3,1,2,38,2,2,3,0
1,6,0,1,1,2,38,2,1,3,0
1,6,0,2,1,2,38,2,1,3,0
1,6,0,2,1,2,38,2,1,3,0
1,6,0,2,1,2,38,2,1,3,0
1,6,0,1,1,2,38,2,1,3,0
1,6,0,1,1,2,38,2,1,3,0
1,6,0,2,1,2,38,2,1,1,0
1,6,0,2,12,2,38,1,1,3,0
1,6,0,1,23,2,38,1,1,3,0
1,6,0,1,3,2,38,1,1,1,0
1,6,0,1,22,2,38,1,1,3,0
1,6,0,1,2,2,38,1,1,3,0
1,6,0,1,2,2,38,1,1,3,0
1,6,0,2,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,2,5,2,38,1,1,1,0
1,6,0,1,15,2,38,1,1,3,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,2,20,2,38,2,1,3,0
1,6,0,1,2,2,38,2,1,3,0
1,1,7,1,0,3,38,3,1,1,0
1,5,1,1,14,2,38,3,1,3,0
1,5,7,1,27,2,38,4,1,1,0
1,1,7,1,22,4,38,3,1,3,0
1,6,0,1,7,2,38,1,1,1,0
1,6,0,1,11,2,38,1,1,4,0
1,6,0,2,11,2,38,1,1,3,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,14,2,38,2,1,1,0
1,6,0,1,14,2,38,2,1,1,0
1,5,0,1,10,2,38,2,1,3,0
1,6,0,1,14,2,38,2,1,1,0
1,2,7,1,13,4,38,2,1,5,0
1,3,7,2,5,3,38,2,1,1,0
1,6,1,1,5,2,38,3,1,1,0
2,2,1,3,20,4,38,2,1,3,0
1,5,1,1,14,0,38,2,1,1,0
1,1,1,1,1,4,38,2,1,4,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
2,6,0,1,0,2,38,2,1,1,0
2,6,0,2,8,2,38,2,1,3,0
1,6,0,1,17,2,38,2,2,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,5,2,38,2,1,1,0
1,6,0,1,1,2,38,2,2,3,0
1,6,0,1,3,2,38,2,1,5,0
2,6,0,2,23,2,38,1,1,3,0
1,5,0,1,2,2,38,1,1,3,0
1,6,0,1,23,2,38,1,1,3,0
2,6,0,2,15,2,38,1,1,3,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,1,17,2,38,1,1,1,0
1,6,0,2,20,2,38,2,1,3,0
1,6,0,2,0,2,38,1,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,1,1,0,2,38,3,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,23,2,38,2,1,3,0
1,6,0,1,23,2,38,2,1,3,0
1,6,1,1,3,2,38,3,1,1,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,2,10,2,38,2,1,1,0
1,6,0,1,5,2,38,2,1,1,0
1,5,1,1,18,2,38,3,1,1,0
1,6,0,2,10,2,38,1,1,3,0
1,6,0,1,10,2,38,1,1,1,0
1,6,0,1,23,2,38,1,1,4,0
2,6,0,1,2,2,38,1,1,3,0
1,5,5,1,20,2,38,4,1,3,0
1,5,7,1,5,2,38,3,1,1,0
1,6,0,2,7,2,38,1,1,1,0
1,6,0,2,7,2,38,1,1,1,0
1,6,0,1,11,2,38,1,1,3,0
2,2,7,2,2,3,38,2,2,3,1
1,1,7,1,0,3,38,2,1,1,0
1,6,1,1,3,2,38,3,1,1,0
1,5,1,1,6,2,38,3,1,3,0
1,2,1,2,20,0,38,2,2,3,1
1,3,1,1,7,0,38,2,1,1,0
1,6,0,2,3,2,38,2,1,1,0
1,6,0,1,1,2,38,2,1,4,0
1,6,0,1,5,2,38,2,1,1,0
2,6,0,1,30,2,38,2,1,3,0
1,6,0,1,20,2,38,2,2,3,0
2,6,0,2,8,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,24,2,38,2,1,1,0
1,6,0,1,23,2,38,2,1,3,0
1,6,0,2,3,2,38,2,1,1,0
1,6,0,1,23,2,38,1,1,3,0
1,6,0,1,24,2,38,1,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,2,20,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,5,5,1,0,2,38,4,1,3,0
2,6,0,1,0,2,38,2,1,1,0
1,3,1,1,0,0,38,4,1,1,1
1,3,7,1,0,3,38,2,2,1,1
1,3,1,1,0,1,38,2,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,2,0,2,38,2,1,1,0
1,6,0,2,0,2,38,2,1,1,0
1,6,0,2,0,2,38,2,1,1,0
1,6,0,2,0,2,38,2,1,1,0
1,6,0,2,0,2,38,2,1,1,0
1,6,0,2,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,1,1,1,0
2,6,0,1,0,2,38,2,1,4,0
1,6,0,1,0,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,1,0
1,5,5,1,1,2,38,4,1,3,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,3,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,1,1,12,2,38,3,1,1,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,1,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,2,12,2,38,2,1,1,0
1,6,0,1,12,2,38,2,1,1,0
1,6,0,1,12,2,38,2,1,1,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,1,0
1,6,0,1,12,2,38,2,1,1,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,8,2,38,2,1,1,0
1,6,1,1,3,2,38,3,1,1,0
1,6,0,2,10,2,38,2,1,4,0
1,6,0,1,10,2,38,2,1,3,0
1,6,0,1,17,2,38,2,1,1,0
1,6,0,1,5,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,23,2,38,2,1,3,0
1,6,0,1,10,2,38,2,1,4,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,11,2,38,2,1,3,0
1,6,0,1,7,2,38,2,1,1,0
1,6,0,1,2,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,3,3,2,38,2,1,1,0
1,5,7,2,5,2,38,3,1,1,1
1,3,7,2,18,3,38,3,1,3,1
1,2,7,1,2,3,38,2,1,3,1
1,3,7,2,17,1,38,2,1,1,1
1,5,0,2,11,2,38,1,1,1,0
1,6,0,1,5,2,38,1,1,1,0
1,6,0,2,5,2,38,1,1,1,0
1,6,0,1,3,2,38,1,1,1,0
1,6,5,1,27,2,38,4,1,1,0
1,5,1,1,7,2,38,3,1,1,0
1,5,7,1,27,2,38,4,1,1,0
1,5,5,2,10,2,38,4,1,3,0
1,3,7,2,11,3,38,3,1,3,0
1,6,0,1,11,2,38,1,1,3,0
1,4,7,2,3,3,38,2,1,1,1
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,24,2,38,2,1,1,0
